"X","Y","SAMELO","OBJECTID","AREA","PERIMETER","PHTW911_","PHTW911_ID","XLO","YLO","SNO","YEAR","LNO","FE","MN","CU","ZN","CD","CR","NI","PB","add","county"
120.542316,24.05708476,0,17052,62500,1000,8552,23257,202625,2661625,"GR82GK72441",1993,"GK7244",1613.85,18.58,152.35,193.96,0.95,9.02,81.07,7.56,"500台灣彰化縣彰化市介壽北路108巷1弄","彰化縣"
120.5423321,24.05257,0,17158,62500,1000,8661,23251,202625,2661125,"GR83GK72421",1994,"GK7242",1346.17,153.64,142.45,35.11,1.08,25.54,64.51,13.08,"503台灣彰化縣花壇鄉菊中街407號","彰化縣"
120.5425487,22.55579296,0,87560,62500,1000,17280,17280,202125,2495375,"GR93GE72431",2004,"GE7243",42.28,146,3.31,924.88,2.78,0.43,3.43,7.12,"920台灣屏東縣潮州鎮朝陽路196號","屏東縣"
120.5429683,22.42709045,0,85856,62500,1000,14048,14048,202125,2481125,"GR93GD22421",2004,"GD2242",466.32,191.51,87.17,402.7,0.55,5.29,2.13,0,"Unnamed Road, 佳冬鄉屏東縣台灣 931","屏東縣"
120.5436822,23.66655312,0,89835,62500,1000,22678,22678,202625,2618375,"GR93GI32481",2004,"GI3248",1270.19,16.23,18.16,11.58,0.25,0.2,91.69,7.12,"646台灣雲林縣古坑鄉雲193鄉道","雲林縣"
120.5445832,22.67771654,0,70995,62500,1000,26385,1268,202375,2508875,"GR88GE22521",1999,"GE2252",326.17,113.21,47.94,260.43,0.2,0.67,1.14,8.82,"908台灣屏東縣長治鄉屏40-1鄉道","屏東縣"
120.544612,22.66868649,0,130862,62500,1000,11758,11758,202375,2507875,"GR95GE32591",2006,"GE3259",531.07,104.68,5.8,1037.95,0.16,1.99,1.55,6.96,"909台灣屏東縣麟洛鄉嘉39鄉道46號","屏東縣"
120.5449263,24.01420134,0,18121,62500,1000,9649,24264,202875,2656875,"GR83GK92571",1994,"GK9257",908.51,121.34,183.08,192.43,0.54,2.3,10.95,19,"503台灣彰化縣花壇鄉金城街167巷40號","彰化縣"
120.5449979,23.99388461,0,90892,62500,1000,25842,25842,202875,2654625,"GR93GJ02591",2004,"GJ0259",769.95,99.29,55.33,68.57,0.19,24.44,13.59,19.17,"515台灣彰化縣大村鄉中正西路401號","彰化縣"
120.5453523,22.44064439,0,85874,62500,1000,14098,14098,202375,2482625,"GR93GD22581",2004,"GD2258",753.18,18.44,4.48,4.22,0.08,15.78,0.22,0,"931台灣屏東縣佳冬鄉新埔路16號","屏東縣"
120.5455866,23.82458103,0,20998,62500,1000,12665,60807,202875,2635875,"GR85GJ62511",1996,"GJ6251",766.88,129.75,4.65,512.47,0.75,1.54,4.68,15.74,"524台灣彰化縣溪州鄉登山路二段238號","彰化縣"
120.546914,22.70932958,0,130595,62500,1000,10949,10949,202625,2512375,"GR95GE12651",2006,"GE1265",693.81,140.35,93.99,320.6,0.32,1.24,1.82,6.3,"908台灣屏東縣長治鄉農科路","屏東縣"
120.5469729,22.69126872,0,130772,62500,1000,11480,11480,202625,2510375,"GR95GE22681",2006,"GE2268",1.1,48.15,4.14,109650.66,1.09,0.25,3.57,5.03,"908台灣屏東縣長治鄉復興路346巷19號","屏東縣"
120.5470977,24.09547436,0,16122,62500,1000,7593,22054,203125,2665875,"GR82GK626A1",1993,"GK626A",888.53,57.75,38.44,32.17,1.6,3.1,53.97,11.6,"500台灣彰化縣彰化市彰泰三街90號","彰化縣"
120.5473759,24.01646603,0,18071,62500,1000,9599,24283,203125,2657125,"GR83GK92681",1994,"GK9268",530.71,255.8,159.05,259.42,0.51,4.86,49.19,19,"503台灣彰化縣花壇鄉金墩街69巷20-2號","彰化縣"
120.5474155,24.00517892,0,91718,62500,1000,28047,28047,203125,2655875,"GR93GK92631",2004,"GK9263",521.52,96.63,50.77,38.09,0.26,14.45,9.27,17.4,"Unnamed Road, 大村鄉彰化縣台灣 515","彰化縣"
120.5474393,23.99840667,0,91715,62500,1000,28038,28038,203125,2655125,"GR93GK92601",2004,"GK9260",476.26,100.37,62.23,43.93,0.31,16.2,9.66,23.02,"515台灣彰化縣大村鄉慶安路419號","彰化縣"
120.5493328,22.71385185,0,135453,62500,1000,2249,2249,202875,2512875,"GR95GE12771",2006,"GE1277",256.54,164.01,1923.03,3624.75,0.35,0.24,4.36,68.69,"908台灣屏東縣長治鄉德華路","屏東縣"
120.5498255,24.01873068,0,18019,62500,1000,9546,24301,203375,2657375,"GR83GK92791",1994,"GK9279",1119.14,193.93,36.57,27.72,0.72,13.47,16,14.33,"503台灣彰化縣花壇鄉中橋街430號","彰化縣"
120.5498729,24.00518613,0,91722,62500,1000,28059,28059,203375,2655875,"GR93GK92731",2004,"GK9273",723.73,86.06,67.62,50.52,0.22,18.12,11.57,23.65,"Unnamed Road, 大村鄉彰化縣台灣 515","彰化縣"
120.5517885,22.70708582,0,130605,62500,1000,10976,10976,203125,2512125,"GR95GE12841",2006,"GE1284",11.99,197.29,141.96,4769.83,0.61,0.63,3.58,0.37,"908台灣屏東縣長治鄉德新路10巷","屏東縣"
120.5518822,24.13386297,0,15259,62500,1000,6693,80853,203625,2670125,"GR89GK42851",2000,"GK4285",2123.44,115.8,25.6,87.46,0.5,30.16,125.65,12.25,"432台灣台中市大肚區沙田路一段933巷","台中市"
120.5523927,23.987134,0,90912,62500,1000,25901,25901,203625,2653875,"GR93GJ02861",2004,"GJ0286",178.59,181.52,23.36,471.09,0.28,1.57,4.08,42.42,"515台灣彰化縣大村鄉員大路7-24號","彰化縣"
120.5543292,22.67322906,0,71019,62500,1000,26409,1292,203375,2508375,"GR88GE22901",1999,"GE2290",600.45,163.79,1051.74,47.21,0.37,0.71,3.78,23.59,"908台灣屏東縣長治鄉屏40-1鄉道","屏東縣"
120.5547919,22.52873135,0,87916,62500,1000,18093,18093,203375,2492375,"GR93GE82921",2004,"GE8292",401.66,63.64,145.68,1104.56,0.42,5.01,4.6,8349.38,"920台灣屏東縣潮州鎮復興路136號","屏東縣"
120.5548187,23.99617076,0,62291,62500,1000,17411,53801,203875,2654875,"GR92GJ029A1",2003,"GJ029A",735.44,195.66,43.77,30.99,0.29,8.25,44,19.43,"515台灣彰化縣大村鄉過溝三巷43號","彰化縣"
120.5548357,22.51518386,0,88236,62500,1000,18621,18621,203375,2490875,"GR93GE92971",2004,"GE9297",853.65,117.53,7.79,54.41,0.62,27.78,1.9,2.13,"920台灣屏東縣潮州鎮復興路81號","屏東縣"
120.5569164,22.62356922,0,43158,62500,1000,35987,56562,203625,2502875,"GR87GE43001",1998,"GE4300",1001.63,35.73,152.29,28.71,0.36,1.07,1.71,0,"912台灣屏東縣內埔鄉瑞穗路","屏東縣"
120.5572604,24.00069268,0,91727,62500,1000,28074,28074,204125,2655375,"GR93GK93011",2004,"GK9301",1412.58,238.55,39.07,213.61,0.69,16.21,16.15,8.47,"515台灣彰化縣大村鄉中山路三段205號","彰化縣"
120.5587972,22.79741493,0,70255,62500,1000,25621,1323,203875,2522125,"GR88GF73001",1999,"GF7300",1110.93,111.24,81.9,1620.11,0.4,1.42,3.01,6.69,"906台灣屏東縣高樹鄉屏3-1鄉道30號","屏東縣"
120.5589211,22.75903313,0,88783,62500,1000,19606,19606,203875,2517875,"GR93GF93051",2004,"GF9305",848.78,33.62,130.93,223.79,0.6,2.01,1.55,8.3,"907台灣屏東縣鹽埔鄉東平街9號","屏東縣"
120.5590888,22.70710645,0,70856,62500,1000,26237,983,203875,2512125,"GR88GE13041",1999,"GE1304",647.27,89.9,30.19,212,0.27,0.56,1.24,6.2,"908台灣屏東縣長治鄉玉米二巷","屏東縣"
120.5599461,23.93297849,0,18913,62500,1000,10477,59957,204375,2647875,"GR85GJ23141",1996,"GJ2314",40.6,195.84,20.49,269.28,0.81,1.6,4.67,7.21,"512台灣彰化縣永靖鄉20","彰化縣"
120.5615294,22.70485562,0,70879,62500,1000,26262,993,204125,2511875,"GR88GE13131",1999,"GE1313",908.25,159.21,108.97,3043.91,0.59,1.48,2.82,13.03,"908台灣屏東縣長治鄉玉米一巷10號","屏東縣"
120.5617668,22.62809754,0,43063,62500,1000,35889,56609,204125,2503375,"GR87GE43221",1998,"GE4322",597.3,26.81,8.88,6.22,0.2,18.11,1.05,3.76,"912台灣屏東縣內埔鄉樹山路樹田巷5號","屏東縣"
120.5618596,24.09326018,0,16196,62500,1000,7667,22111,204625,2665625,"GR82GK63291",1993,"GK6329",1278.38,69.8,432.96,218.09,0.5,43.36,291.52,16.51,"500台灣彰化縣彰化市泰和路三段238巷23-3號","彰化縣"
120.5624201,22.42037124,0,71834,62500,1000,27250,51554,204125,2480375,"GR92GD332A1",2003,"GD332A",1001.85,52.12,108.65,95.74,0.26,0.95,2.24,3.45,"931台灣屏東縣佳冬鄉文化二路76號","屏東縣"
120.5627792,23.82011594,0,21201,62500,1000,12876,61421,204625,2635375,"GR85GJ732A1",1996,"GJ732A",441.52,88.43,5.09,708.49,0.54,0.7,4.96,11.97,"524台灣彰化縣溪州鄉新生巷","彰化縣"
120.5642823,22.60101242,0,43610,62500,1000,36489,57215,204375,2500375,"GR87GE53311",1998,"GE5331",558.63,92.85,93.31,34.82,0.26,0.3,1.6,3.4,"912台灣屏東縣內埔鄉學人路336巷","屏東縣"
120.5644995,22.53327343,0,87959,62500,1000,18179,18179,204375,2492875,"GR93GE83341",2004,"GE8334",731.56,66.57,78.25,368.33,0.56,2.38,1.66,5.94,"920台灣屏東縣潮州鎮崙東路27號","屏東縣"
120.5646398,23.99845626,0,91732,62500,1000,28089,28089,204875,2655125,"GR93GK93301",2004,"GK9330",875.5,41.08,104.59,142.72,0.34,7.28,14.23,10.99,"515台灣彰化縣大村鄉中山路三段156巷36號","彰化縣"
120.564655,23.99394141,0,90943,62500,1000,25993,25993,204875,2654625,"GR93GJ03391",2004,"GJ0339",100.77,133.71,7.67,240.02,0.1,0.22,0.99,8.82,"515台灣彰化縣大村鄉彰68鄉道33號","彰化縣"
120.5663243,23.48827573,0,131016,62500,1000,12218,12218,204875,2598625,"GR95GH03371",2006,"GH0337",217.75,69,134.06,25.23,0,0.12,0.94,2.69,"604台灣嘉義縣竹崎鄉勝源路15號","嘉義縣"
120.5668079,24.08424489,0,16482,62500,1000,7964,22129,205125,2664625,"GR82GK63451",1993,"GK6345",1920.48,87.14,567.06,2708.81,0.86,363.07,389.47,13.1,"500台灣彰化縣彰化市竹和路436號","彰化縣"
120.5668155,24.08198754,0,16541,62500,1000,8024,22126,205125,2664375,"GR82GK63441",1993,"GK6344",1988,83.95,223.47,631.79,5.79,88.87,100.26,15.69,"500台灣彰化縣彰化市福山街44巷10號","彰化縣"
120.5687867,22.71842209,0,70771,62500,1000,26148,1021,204875,2513375,"GR88GE13491",1999,"GE1349",725.31,188.9,17.15,456.54,0.79,3.63,2.99,9.58,"Unnamed Road, 長治鄉屏東縣台灣 908","屏東縣"
120.5688009,22.71390672,0,130643,62500,1000,11081,11081,204875,2512875,"GR95GE13471",2006,"GE1347",909.65,79.35,136.27,262.67,1.12,1.29,1.61,7.92,"908台灣屏東縣長治鄉新榮路","屏東縣"
120.568808,22.71164903,0,130642,62500,1000,11078,11078,204875,2512625,"GR95GE13461",2006,"GE1346",1095.88,67.48,102.68,244.27,0.82,3.33,1.76,4.4,"908台灣屏東縣長治鄉新榮路","屏東縣"
120.5711213,22.75003638,0,88816,62500,1000,19688,19688,205125,2516875,"GR93GF93511",2004,"GF9351",623.91,97.61,293.79,247.9,0.74,2.55,1.82,6.12,"907台灣屏東縣鹽埔鄉勝利路16號","屏東縣"
120.5711284,22.7477787,0,88815,62500,1000,19685,19685,205125,2516625,"GR93GF93501",2004,"GF9350",1238.39,34.43,132.62,57.63,0.34,1.14,0.86,0.81,"907台灣屏東縣鹽埔鄉建設街14巷","屏東縣"
